method,endpoint,field_path,description,type,required
POST,/batch/zip,paymentDetails[userCreditPayment].userCredit.currency,"ISO 4217 currency code. Accepted values: USD, EUR, GBP, CAD, AUD.",enum: USD | EUR | GBP | CAD | AUD,Optional
POST,/batch/zip,tags[],Optional list of user-defined string tags for reporting and filtering.,string,Optional
POST,/batch/zip/address-capture,jobTemplate,Saved job template name; pre-populates all print and mail options. Mutually exclusive with jobOptions.,string,Optional
POST,/batch/zip/address-capture,zipDocumentSource[zipDocumentIdSource].zipDocumentId,Integer ID of a previously stored ZIP archive.,integer,Required*
POST,/batch/zip/address-capture,zipDocumentSource[zipDocumentIdSource].filename,Filename of a specific file within an upload request or ZIP archive.,string,Required*
POST,/batch/zip/address-capture,zipDocumentSource[zipRequestIdSource].requestId,Integer ID of a prior file upload request. Also returned in success responses.,integer,Required*
POST,/batch/zip/address-capture,zipDocumentSource[zipRequestIdSource].zipFilename,Filename of the ZIP file within an upload request (distinguishes the zip from other files uploaded in the same request).,string,Required*
POST,/batch/zip/address-capture,zipDocumentSource[zipRequestIdSource].filename,Filename of a specific file within an upload request or ZIP archive.,string,Required*
POST,/batch/zip/address-capture,paymentDetails[creditCardPayment].creditCard.cardType,"Card brand. Accepted values: visa, mastercard, discover, americanExpress.",enum: visa | mastercard | discover | americanExpress,Optional
POST,/batch/zip/address-capture,paymentDetails[creditCardPayment].creditCard.cardNumber,Credit card number (PAN) as a string.,string,Optional
POST,/batch/zip/address-capture,paymentDetails[creditCardPayment].creditCard.expirationDate.month,Expiration month as an integer (1–12).,integer,Optional
POST,/batch/zip/address-capture,paymentDetails[creditCardPayment].creditCard.expirationDate.year,Expiration year as a four-digit integer (e.g. 2027).,integer,Optional
POST,/batch/zip/address-capture,paymentDetails[creditCardPayment].creditCard.cvv,Card security code (CVV/CVC) as an integer.,integer,Optional
POST,/batch/zip/address-capture,paymentDetails[invoicePayment].invoice.invoiceNumber,Invoice reference number.,string,Optional
POST,/batch/zip/address-capture,paymentDetails[invoicePayment].invoice.amountDue,Amount due on the invoice.,number,Optional
POST,/batch/zip/address-capture,paymentDetails[achPayment].ach.routingNumber,ABA bank routing number.,string,Optional
POST,/batch/zip/address-capture,paymentDetails[achPayment].ach.accountNumber,Bank account number.,string,Optional
POST,/batch/zip/address-capture,paymentDetails[achPayment].ach.checkDigit,ACH check digit.,integer,Optional
POST,/batch/zip/address-capture,paymentDetails[userCreditPayment].userCredit.amount,Monetary amount (numeric value).,number,Optional
POST,/batch/zip/address-capture,paymentDetails[userCreditPayment].userCredit.currency,"ISO 4217 currency code. Accepted values: USD, EUR, GBP, CAD, AUD.",enum: USD | EUR | GBP | CAD | AUD,Optional
POST,/batch/zip/address-capture,returnAddress.firstName,Recipient's first name.,string,Optional
POST,/batch/zip/address-capture,returnAddress.lastName,Recipient's last name.,string,Optional
POST,/batch/zip/address-capture,returnAddress.company,Recipient's company or organisation name (optional).,string,Optional
POST,/batch/zip/address-capture,returnAddress.address1,Primary street address line.,string,Optional
POST,/batch/zip/address-capture,returnAddress.city,City name.,string,Optional
POST,/batch/zip/address-capture,returnAddress.state,Two-letter state or province abbreviation.,string,Optional
POST,/batch/zip/address-capture,returnAddress.zip,ZIP or postal code.,string,Optional
POST,/batch/zip/address-capture,returnAddress.country,Country code (e.g. USA).,string,Optional
POST,/batch/zip/address-capture,returnAddress.address2,"Secondary address line (suite, apartment, floor, etc.).",string,Optional
POST,/batch/zip/address-capture,returnAddress.address3,Tertiary address line.,string,Optional
POST,/batch/zip/address-capture,jobOptions.documentClass,"Document class. Legal values: letter, postcard, brochure, flat.",enum: letter | postcard | brochure | flat,Optional
POST,/batch/zip/address-capture,jobOptions.layout,"Page layout for address placement. Legal values: address_on_first_page, address_on_back_page.",enum: address_on_first_page | address_on_back_page,Optional
POST,/batch/zip/address-capture,jobOptions.productionTime,"Production time preference. Legal values: next_day, two_day, three_day, standard, same_day.",enum: next_day | two_day | three_day | standard | same_day,Optional
POST,/batch/zip/address-capture,jobOptions.envelope,"Envelope type. Legal values: standard, none, flat, double_window.",enum: standard | none | flat | double_window,Optional
POST,/batch/zip/address-capture,jobOptions.color,"Color mode. Legal values: full_color, black_and_white.",enum: full_color | black_and_white,Optional
POST,/batch/zip/address-capture,jobOptions.paperType,"Paper stock. Legal values: white, white_24, ivory, glossy.",enum: white | white_24 | ivory | glossy,Optional
POST,/batch/zip/address-capture,jobOptions.printOption,"Duplex setting. Legal values: double_sided, single_sided.",enum: double_sided | single_sided,Optional
POST,/batch/zip/address-capture,jobOptions.mailClass,"USPS mail class. Legal values: first_class, standard, non_profit.",enum: first_class | standard | non_profit,Optional
POST,/batch/zip/address-capture,tags[],Optional list of user-defined string tags for reporting and filtering.,string,Optional
